Word: le, TF-IDF: 120.12304006315865
Word: arrested, TF-IDF: 120.07593343702258
Word: fantastic, TF-IDF: 119.75988864748501
Word: happen, TF-IDF: 119.67696871762718
Word: assembles, TF-IDF: 118.84458052497423
Word: bucky, TF-IDF: 118.73212038933161
Word: karlurban, TF-IDF: 118.1137432748324
Word: morgan, TF-IDF: 117.92861679015948
Word: fay, TF-IDF: 117.37010673529325
Word: fancastpoc, TF-IDF: 117.25808617368033
Word: fancast, TF-IDF: 116.38786419219443
Word: comicbook, TF-IDF: 116.08771561531523
Word: breaking, TF-IDF: 115.11656355575545
Word: role, TF-IDF: 114.61717563443125
Word: adds, TF-IDF: 114.07227564275907
Word: watching, TF-IDF: 113.94288541293517
Word: jessica, TF-IDF: 113.15343388915443
Word: ask, TF-IDF: 113.10505553015774
Word: female, TF-IDF: 113.05813435524658
Word: liked, TF-IDF: 112.4968552928522
Word: girls, TF-IDF: 112.1549406882231
Word: agentcarter, TF-IDF: 112.0279893079524
Word: avxnger, TF-IDF: 109.87515580502867
Word: directors, TF-IDF: 109.0896335433952
Word: chrisevans, TF-IDF: 108.19777119449601
Word: infinity, TF-IDF: 107.3863801295675
Word: truly, TF-IDF: 107.03700790960536
Word: tv, TF-IDF: 105.68971755741151
Word: god, TF-IDF: 105.42815419684597
Word: red, TF-IDF: 105.27580242205123
Word: thebestofmarvel, TF-IDF: 105.13204167040462
Word: tessa, TF-IDF: 104.22705543898371
Word: tony, TF-IDF: 104.1252452000547
Word: got, TF-IDF: 103.49135332226476
Word: chance, TF-IDF: 103.39504215189295
Word: starring, TF-IDF: 103.30301151455821
Word: stan, TF-IDF: 102.45073674369827
Word: wolverine, TF-IDF: 100.68287258546648
Word: cevansnews, TF-IDF: 100.51629611993415
Word: yes, TF-IDF: 100.00975237406698
Word: cold, TF-IDF: 99.90909818608331
Word: card, TF-IDF: 99.88853916256456
Word: ice, TF-IDF: 99.81121458455368
Word: stark, TF-IDF: 99.61043548426169
Word: cover, TF-IDF: 99.54569651835617
Word: evans, TF-IDF: 99.3865970332232
Word: requested, TF-IDF: 99.18169042576866
Word: magical, TF-IDF: 98.85230717314477
Word: icymi, TF-IDF: 98.83663543735808
Word: guest, TF-IDF: 98.78800252098664
Word: markruffalo, TF-IDF: 98.78417273481331
Word: future, TF-IDF: 98.6919583060569
Word: films, TF-IDF: 97.91773430933851
Word: moments, TF-IDF: 97.47393402560266
Word: team, TF-IDF: 97.4498295211662
Word: id, TF-IDF: 97.28236375515701
Word: sambucky, TF-IDF: 97.02269147017968
Word: stevetony, TF-IDF: 96.856737734846
Word: glenewing, TF-IDF: 96.84500880619305
Word: theyoungdoyler, TF-IDF: 96.59347194995304
Word: season, TF-IDF: 96.54246449757566
Word: credits, TF-IDF: 96.49518739674282
Word: actress, TF-IDF: 96.1440763932102
Word: mean, TF-IDF: 96.0424973417393
Word: mj, TF-IDF: 94.70965225549669
Word: hey, TF-IDF: 94.62988986764049
Word: day, TF-IDF: 94.29152776896508
Word: jun, TF-IDF: 94.08371111865245
Word: jones, TF-IDF: 93.94924852508498
Word: costume, TF-IDF: 93.05118226454599
Word: starwars, TF-IDF: 92.33679738684778
Word: lol, TF-IDF: 92.04128475301987
Word: hero, TF-IDF: 91.98086124350002
Word: eur, TF-IDF: 90.16648586607965
Word: consider, TF-IDF: 90.00673666115381
Word: anthony, TF-IDF: 89.60063644189512
Word: jessicajones, TF-IDF: 88.74199800581655
Word: joins, TF-IDF: 88.55458738530821
Word: rumors, TF-IDF: 88.54121435640953
Word: issues, TF-IDF: 88.46673752481361
Word: marvelous, TF-IDF: 88.15208596793849
Word: phase, TF-IDF: 87.92982865206962
Word: cevansofficial, TF-IDF: 87.09739896892154
Word: makes, TF-IDF: 86.08338613004602
Word: thompson, TF-IDF: 85.51479872358024
Word: sell, TF-IDF: 85.08881631277022
Word: check, TF-IDF: 83.48190200771714
Word: vf, TF-IDF: 83.42188014147791
Word: prelude, TF-IDF: 82.81181745066338
Word: agentsofshield, TF-IDF: 82.5760532021133
Word: actually, TF-IDF: 80.92840469117327
Word: death, TF-IDF: 80.91004561106395
Word: blackpanther, TF-IDF: 80.39726181856051
Word: civilwarii, TF-IDF: 79.35514016626041
Word: thanks, TF-IDF: 79.053908374849
Word: superheroes, TF-IDF: 78.4192021500642
Word: hair, TF-IDF: 78.33733828204022
Word: trailer, TF-IDF: 78.28669656721559
Word: dark, TF-IDF: 77.57486316124344
Word: connects, TF-IDF: 77.53057386794633
Word: come, TF-IDF: 77.09998730882975
Word: way, TF-IDF: 76.27410878032144
Word: krysten, TF-IDF: 76.05337269842228
Word: teamironman, TF-IDF: 75.66788085279354
Word: ritter, TF-IDF: 75.55357950010755
Word: excited, TF-IDF: 75.42815165890426
Word: batman, TF-IDF: 75.09657829881847
Word: cbr, TF-IDF: 74.89167364197928
Word: playing, TF-IDF: 74.83249268220787
Word: thing, TF-IDF: 74.2292443306044
Word: doesnt, TF-IDF: 73.78456375426441
Word: ironman, TF-IDF: 73.66803503690697
Word: takes, TF-IDF: 73.42952605486329
Word: bronze, TF-IDF: 73.04921079059191
Word: sure, TF-IDF: 72.34061329543773
Word: awesome, TF-IDF: 72.237321837672
Word: fucking, TF-IDF: 72.22502907028795
Word: cosplay, TF-IDF: 72.12023947742786
Word: controversy, TF-IDF: 72.09559256897758
Word: knowing, TF-IDF: 72.0016334695106
Word: wasnt, TF-IDF: 71.58335056060623
Word: vulture, TF-IDF: 71.40667005071715
Word: classified, TF-IDF: 70.03860569638336
Word: robertdowneyjr, TF-IDF: 69.8179516275072
Word: coming, TF-IDF: 69.39020490870001
Word: agentedemarvel, TF-IDF: 69.28654486287742
Word: stacy, TF-IDF: 69.1726434592176
Word: teamcap, TF-IDF: 68.45423400293537
Word: alizromanoffsj, TF-IDF: 68.44110651768737
Word: photoshopped, TF-IDF: 68.24921239629064
Word: return, TF-IDF: 68.16007966150974
Word: thats, TF-IDF: 67.90398461474581
Word: punisher, TF-IDF: 66.40397273379585
Word: legends, TF-IDF: 66.03967107990667
Word: announced, TF-IDF: 65.80889666001637
Word: cgc, TF-IDF: 65.75733198752424
Word: marvelnewz, TF-IDF: 65.56017720082096
Word: warming, TF-IDF: 65.4705692858382
Word: filipina, TF-IDF: 65.11057935296074
Word: difference, TF-IDF: 65.09529176510806
Word: books, TF-IDF: 65.02626426441957
Word: worldwide, TF-IDF: 64.47718506561117
Word: review, TF-IDF: 64.19924468037347
Word: lets, TF-IDF: 64.16972671773792
Word: years, TF-IDF: 64.15151600604983
Word: ultimate, TF-IDF: 64.0295222767873
Word: ms, TF-IDF: 64.00563686604426
Word: shit, TF-IDF: 63.654978308259984
Word: imagine, TF-IDF: 63.60578753053202
Word: credit, TF-IDF: 63.58683262020587
Word: things, TF-IDF: 63.415274826878736
Word: actor, TF-IDF: 63.214593547359925
Word: hot, TF-IDF: 63.12256256411449
Word: gonna, TF-IDF: 62.979442919228084
Word: wonder, TF-IDF: 62.652629066568636
Word: htt, TF-IDF: 62.63183637138825
Word: simple, TF-IDF: 62.586710993753584
Word: jackson, TF-IDF: 62.35782333107888
Word: confirmed, TF-IDF: 62.25854893951176
Word: robert, TF-IDF: 62.248954127101975
Word: monday, TF-IDF: 62.14538190046739
Word: youre, TF-IDF: 62.02004261465662
Word: chloe, TF-IDF: 61.99479489015062
Word: trust, TF-IDF: 61.92397100626828
Word: free, TF-IDF: 61.65908631824234
Word: read, TF-IDF: 61.55617046239121
Word: said, TF-IDF: 61.195954057859446
Word: bring, TF-IDF: 61.1806579965666
Word: pop, TF-IDF: 60.82985200938862
Word: let, TF-IDF: 60.755801039671816
Word: bo, TF-IDF: 60.658484556218994
Word: photos, TF-IDF: 60.12201018977089
Word: supervillain, TF-IDF: 60.00237891968492
Word: uncanny, TF-IDF: 59.83891511646419
Word: ssports, TF-IDF: 59.73830703496066
Word: uk, TF-IDF: 59.69984204337647
Word: signed, TF-IDF: 59.44699205077578
Word: variant, TF-IDF: 59.39981062963477
Word: offers, TF-IDF: 59.245070263985355
Word: strange, TF-IDF: 59.055348923161496
Word: downey, TF-IDF: 58.81237984579383
Word: woman, TF-IDF: 58.71903844437263
Word: leave, TF-IDF: 58.671538033058475
